airport,type,city,country,iata,icao,faa
Amedee Army Air Field,Small,Herlong,United,AHC,KAHC,AHC
Ardmore Downtown Executive,Small,Ardmore,United,AHD,,1F0
Ahe,Medium,Ahe,French,AHE,NTHE,
Arapahoe Municipal,Small,Arapahoe,United,AHF,,37V
Airport,Type,City,Country,IATA,ICAO,FAA
Amery Municipal,Small,Amery,United,AHH,KAHH,AHH
Amahai,Small,Amahai-Seram,Indonesia,AHI,WAPA,
Hongyuan,Medium,Aba,China,AHJ,ZUHY,
Aishalton,Small,Aishalton,Guyana,AHL,SYAH,
Ashland Municipal Sumner Parker Field,Small,Ashland,United,AHM,KS03,S03
Athens Ben Epps,Medium,Athens,United,AHN,KAHN,AHN
Alghero-Fertilia,Medium,Alghero,Italy,AHO,LIEA,
Ahuas,Small,Ahuas,Honduras,AHS,MHAH,
"Amchitka Army Airfield
Closed",Closed,Amchitka,United,AHT,,
Cherif Al Idrissi,Medium,Al,Morocco,AHU,GMTA,
"Ambatolhy
Closed",Closed,Ambatolahy,Madagascar,AHY,,
Altiport L'Alpe d'Huez - Henri GIRAUD,Small,L'Alpe,France,AHZ,LFHU,
Alliance Municipal,Small,Alliance,United,AIA,KAIA,AIA
"Anita Bay
Closed",Closed,Anita,United,AIB,,
"Ailinglaplap Airok
Closed",Closed,Bigatyelang,Marshall,AIC,,
Airport,Type,City,Country,IATA,ICAO,FAA
Anderson Municipal Darlington Field,Small,Anderson,United,AID,KAID,AID
Aiome,Small,Aiome,Papua,AIE,AYAO,
Marcelo Pires Halzhausen,Small,Assis,Brazil,AIF,SNAX,
Yalinga,Small,Yalinga,Central,AIG,FEFY,
Aiambak,Small,Aiambak,Papua,AIH,AYAK,
Ali-Sabieh,Small,Ali-Sabieh,Djibouti,AII,HDAS,
Aiken Municipal,Small,Aiken,United,AIK,KAIK,AIK
Alligandi,Small,Alligandi,Panama,AIL,,
Ailuk,Small,Ailuk,Marshall,AIM,,
Wainwright,Medium,Wainwright,United,AIN,PAWI,AWI
Atlantic Municipal,Small,Atlantic,United,AIO,KAIO,AIO
"Aripuanã
Closed",Closed,Aripuanã,Brazil,AIR,SWRP,
Arorae Island,Small,Arorae,Kiribati,AIS,NGTR,
Aitutaki,Small,Aitutaki,Cook,AIT,NCAI,
Enua,Small,Atiu,Cook,AIU,NCAT,
Airport,Type,City,Country,IATA,ICAO,FAA
George Downer,Small,Aliceville,United,AIV,KAIV,AIV
Ai-Ais,Small,Ai-Ais,Namibia,AIW,FYAA,
"Atlantic City Municipal Bader Field
Closed",Closed,Atlantic,United,AIY,KAIY,
Lee C Fine Memorial,Small,Kaiser,United,AIZ,KAIZ,AIZ
Ajaccio-Napoléon Bonaparte,Medium,Ajaccio/Napoléon,France,AJA,LFKJ,
Al-Jawf Domestic,Medium,Al-Jawf,Saudi,AJF,OESK,
Ağrı,Medium,,Turkey,AJI,LTCO,
Akjoujt,Small,Akjoujt,Mauritania,AJJ,GQNJ,
Arak,Small,Araak,Iran,AJK,OIHR,
Lengpui,Medium,Aizawl,India,AJL,VELP,
Ouani,Medium,Ouani,Comoros,AJN,FMCV,
"Aljouf
Closed",Closed,Aljouf,Yemen,AJO,,
