airport,type,city,country,iata,icao,faa
"AFS
Closed",Closed,Northeast,United,OHC,,
Ohrid St. Paul the Apostle,Medium,Ohrid,North,OHD,LWOH,
Okha,Small,Okha,Russia,OHH,UHSH,
Oshakati,Small,Oshakati,Namibia,OHI,FYOS,
Okhotsk,Medium,Okhotsk,Russia,OHO,UHOO,
Wyk auf Föhr,Small,Wyk,Germany,OHR,EDXY,
Kohat,Small,Kohat,Pakistan,OHT,OPKT,
Ourilândia do Norte,Small,Ourilândia,Brazil,OIA,SDOW,
Lt Warren Eaton,Small,Norwich,United,OIC,KOIC,OIC
Airport,Type,City,Country,IATA,ICAO,FAA
"Splane Memorial
Closed",Closed,Oil,United,OIL,,
Oshima,Medium,Izu,Japan,OIM,RJTO,
Okushiri,Medium,Okushiri,Japan,OIR,RJEO,
Oita,Medium,Oita,Japan,OIT,RJFO,
Johnson County Executive,Small,Olathe,United,OJC,KOJC,OJC
Naha,Large,Naha,Japan,OKA,ROAH,
Orchid Beach,Small,Orchid,Australia,OKB,YORC,
Will Rogers World,Large,Oklahoma,United,OKC,KOKC,OKC
Okadama,Medium,Sapporo,Japan,OKD,RJCO,
Okierabu,Medium,Okinoerabujima,Japan,OKE,RJKB,
Okaukuejo,Small,Okaukuejo,Namibia,OKF,FYOO,
Okoyo,Small,Okoyo,Congo,OKG,,
"RAF Cottesmore
Closed",Closed,Cottesmore,United,OKH,EGXJ,
Oki,Medium,Okinoshima,Japan,OKI,RJNO,
Okayama,Medium,Okayama,Japan,OKJ,RJOB,
Kokomo Municipal,Small,Kokomo,United,OKK,KOKK,OKK
Oksibil,Small,Oksibil-Papua,Indonesia,OKL,WAJO,
Okmulgee Regional,Small,Okmulgee,United,OKM,KOKM,OKM
Okondja,Medium,Okondja,Gabon,OKN,FOGQ,
Yokota Air Base,Large,Fussa,Japan,OKO,RJTY,
Oksapmin,Small,Oksapmin,Papua,OKP,AYOJ,
Okaba,Small,Okaba-Papua,Indonesia,OKQ,WAKO,
Yorke Island,Small,Yorke,Australia,OKR,YYKI,
Garden County,Small,Oshkosh,United,OKS,KOKS,OKS
Oktyabrskiy,Small,Kzyl-Yar,Russia,OKT,UWUK,
Airport,Type,City,Country,IATA,ICAO,FAA
Mokuti Lodge,Small,Mokuti,Namibia,OKU,FYMO,
Okao,Small,Okao,Papua,OKV,AYOF,
Oakey,Medium,,Australia,OKY,YBOK,
Ørland,Medium,Ørland,Norway,OLA,ENOL,
Olbia Costa Smeralda,Medium,Olbia,Italy,OLB,LIEO,
Senadora Eunice Micheles,Small,São,Brazil,OLC,SDCG,
"Dewitt Field,Old Town Municipal",Small,Old,United,OLD,KOLD,OLD
"Municipal
Closed",Closed,Olean,United,OLE,,
L M Clayton,Medium,Wolf,United,OLF,KOLF,OLF
"Old Harbor SPB
Closed",Closed,Old,United,OLH,,
Rif,Small,Rif,Iceland,OLI,BIRF,
North West Santo,Small,Olpoi,Vanuatu,OLJ,NVSZ,
Fuerte Olimpo,Small,Fuerte,Paraguay,OLK,SGOL,
Olympia Regional,Medium,Olympia,United,OLM,KOLM,OLM
Colonia Sarmiento,Small,Sarmiento,Argentina,OLN,,
Airport,Type,City,Country,IATA,ICAO,FAA
"Olomouc-Neředín
Closed",Closed,Olomouc,Czechia,OLO,,
Tabulový Vrch,Small,Olomouc,Czechia,OLO,LKOL,
Olympic Dam,Small,Olympic,Australia,OLP,YOLD,
Olsobip,Small,Olsobip,Papua,OLQ,AYOV,
Salerno Landing Zone,Small,,Afghanistan,OLR,,
"Nogales International
Closed",Closed,"Nogales,",United,OLS,,
Olive Branch,Small,Olive,United,OLV,KOLV,OLV
"Olney-Noble
Closed",Closed,"Olney,",United,OLY,,
Eppley Airfield,Medium,Omaha,United,OMA,KOMA,OMA
Omboue Hopital,Medium,Omboue,Gabon,OMB,FOOH,
Ormoc,Medium,Ormoc,Philippines,OMC,RPVO,
Oranjemund,Medium,Oranjemund,Namibia,OMD,FYOG,
Nome,Medium,Nome,United,OME,PAOM,OME
King Hussein Air College,Small,Mafraq,Jordan,OMF,OJMF,
Omega,Small,Omega,Namibia,OMG,FYOE,
Airport,Type,City,Country,IATA,ICAO,FAA
Urmia,Medium,Urmia,Iran,OMH,OITR,
Omidiyeh,Small,Omidiyeh,Iran,OMI,OIAJ,
"Omura
Closed",Closed,Omura,Japan,OMJ,,
Omak,Small,Omak,United,OMK,KOMK,OMK
"Omkalai
Closed",Closed,Omkalai,Papua,OML,,
Marmul,Small,Marmul,Oman,OMM,OOMX,
"Osmanabad
Closed",Closed,Osmanabad,India,OMN,,
Mostar International,Medium,Mostar,Bosnia,OMO,LQMO,
Oradea International,Medium,Oradea,Romania,OMR,LROD,
Omsk Central,Medium,Omsk,Russia,OMS,UNOO,
"Preah Vinhear
Closed",Closed,Tbeng,Cambodia,OMY,,
"Municipal
Closed",Closed,Winona,United,ONA,,
Ononge,Small,Onange,Papua,ONB,AYQQ,
Ondangwa,Medium,Ondangwa,Namibia,OND,FYOA,
"Onepusu
Closed",Closed,Onepusu,Solomon,ONE,,
Airport,Type,City,Country,IATA,ICAO,FAA
Mornington Island,Small,,Australia,ONG,YMTI,
"Municipal
Closed",Closed,Oneonta,United,ONH,,
Moanamani,Small,Moanamani-Papua,Indonesia,ONI,WABD,
Odate Noshiro,Medium,Odate,Japan,ONJ,RJSR,
"Municipal
Closed",Closed,Oneill,United,ONL,,
"Socorro
Closed",Closed,Socorro,United,ONM,,
"Onion Bay
Closed",Closed,Onion,United,ONN,,
Ontario Municipal,Small,Ontario,United,ONO,KONO,ONO
"Newport
Closed",Closed,Newport,United,ONP,,
Zonguldak,Small,Zonguldak,Turkey,ONQ,LTAS,
Monkira,Small,,Australia,ONR,YMNK,
Onslow,Small,,Australia,ONS,YOLW,
Ontario International,Large,Ontario,United,ONT,KONT,ONT
Ono-i-Lau,Small,Ono-i-Lau,Fiji,ONU,NFOL,
Enrique Adolfo Jimenez,Medium,Colón,Panama,ONX,MPEJ,
Airport,Type,City,Country,IATA,ICAO,FAA
"Olney
Closed",Closed,Olney,United,ONY,,
"Municipal
Closed",Closed,Oskaloosa,United,OOA,,
Toksook Bay,Small,Toksook,United,OOK,PAOO,OOK
Gold Coast,Medium,Gold,Australia,OOL,YBCG,
Cooma Snowy Mountains,Medium,Cooma,Australia,OOM,YCOM,
Mooraberree,Small,,Australia,OOR,YMOO,
Onotoa,Small,Onotoa,Kiribati,OOT,NGON,
Melitopol Air Base,Medium,Melitopol,Ukraine,OOX,UKDM,
Kópasker,Small,Kópasker,Iceland,OPA,BIKP,
"Open Bay
Closed",Closed,Open,Papua,OPB,,
"Opa Locka
Closed",Closed,"Miami,",United,OPF,,
Oenpelli,Small,,Australia,OPI,YOEN,
"St Landry Parish
Closed",Closed,Opelousas,United,OPL,,
Francisco de Sá Carneiro,Large,Porto,Portugal,OPO,LPPR,
Presidente João Batista Figueiredo,Small,Sinop,Brazil,OPS,SWSI,
Airport,Type,City,Country,IATA,ICAO,FAA
Balimo,Medium,Balimo,Papua,OPU,AYBM,
Opuwa,Small,Opuwa,Namibia,OPW,FYOP,
Orán,Medium,Orán,Argentina,ORA,SASO,
Örebro,Medium,Örebro,Sweden,ORB,ESOE,
Orocue,Small,Orocue,Colombia,ORC,SKOE,
Chicago O'Hare International,Large,Chicago,United,ORD,KORD,ORD
Orléans-Bricy (BA 123) Air Base,Medium,Orléans/Bricy,France,ORE,LFOJ,
Norfolk International,Large,Norfolk,United,ORF,KORF,ORF
Zorg en Hoop,Small,Paramaribo,Suriname,ORG,SMZO,
Worcester Regional,Medium,Worcester,United,ORH,KORH,ORH
"Port Lions SPB
Closed",Closed,Port,United,ORI,,
Orinduik,Small,Orinduik,Guyana,ORJ,SYOR,
Cork,Large,Cork,Ireland,ORK,EICK,
"Orlando Executive
Closed",Closed,Orlando,United,ORL,,
Sywell Aerodrome,Small,Northampton,United,ORM,EGBK,
Es Senia,Medium,Oran,Algeria,ORN,DAOO,
Yoro,Small,Yoro,Honduras,ORO,MHYR,
Orapa,Small,,Botswana,ORP,FBOR,
Yorketown,Small,,Australia,ORR,YYOR,
"Waterport
Closed",Closed,Orpheus,Australia,ORS,,
Northway,Medium,Northway,United,ORT,PAOR,ORT
Juan Mendoza,Medium,Oruro,Bolivia,ORU,SLOR,
Robert (Bob) Curtis Memorial,Small,Noorvik,United,ORV,PFNO,D76
Ormara,Small,Ormara,Pakistan,ORW,OPOR,
Oriximiná,Small,Oriximiná,Brazil,ORX,SNOX,
Airport,Type,City,Country,IATA,ICAO,FAA
Paris-Orly,Large,Paris,France,ORY,LFPO,
Orange Walk,Small,Orange,Belize,ORZ,,
Mosul International,Medium,Mosul,Iraq,OSB,ORBM,
"Oscoda-Wurtsmith AFB
Closed",Closed,"Oscoda,",United,OSC,,
Åre Östersund,Medium,Östersund,Sweden,OSD,ESNZ,
Omora,Small,Omora,Papua,OSE,AYOM,
Ossima,Small,Ossima,Papua,OSG,AYZS,
Wittman Regional,Medium,Oshkosh,United,OSH,KOSH,OSH
Osijek,Medium,Osijek,Croatia,OSI,LDOS,
Oskarshamn,Small,,Sweden,OSK,ESMO,
Oslo Gardermoen,Large,Oslo,Norway,OSL,ENGM,
"Mosul
Closed",Closed,Mosul,Iraq,OSM,,
Osan Air Base,Large,,South,OSN,RKSO,
Osborne Mine,Small,,Australia,OSO,YOSB,
"Redzikowo Air Base
Closed",Closed,,Poland,OSP,EPSK,
Airport,Type,City,Country,IATA,ICAO,FAA
Ostrava Leos Janáček,Medium,Ostrava,Czechia,OSR,LKMT,
Osh,Medium,Osh,Kyrgyzstan,OSS,UCFO,
Ostend-Bruges International,Medium,Ostend,Belgium,OST,EBOS,
Ohio State University,Medium,Columbus,United,OSU,KOSU,OSU
Orsk,Medium,Orsk,Russia,OSW,UWOR,
"Attala County
Closed",Closed,Kosciusko,United,OSX,,
Namsos Høknesøra,Small,Namsos,Norway,OSY,ENNM,
Koszalin Zegrze Pomorskie Air Base,Small,Zegrze,Poland,OSZ,EPKZ,
"Mota
Closed",Closed,Mota,Ethiopia,OTA,,
Bol,Small,Bol,Chad,OTC,FTTL,
Contadora,Small,Contadora,Panama,OTD,,
"Worthington
Closed",Closed,Worthington,United,OTG,,
Southwest Oregon Regional,Medium,North,United,OTH,KOTH,OTH
Pitu,Medium,Gotalalamo-Morotai,Indonesia,OTI,WAMR,
Otjiwarongo,Small,Otjiwarongo,Namibia,OTJ,FYOW,
Airport,Type,City,Country,IATA,ICAO,FAA
Tillamook,Small,Tillamook,United,OTK,KTMK,TMK
Boutilimit,Small,Boutilimit,Mauritania,OTL,GQNB,
Ottumwa Regional,Medium,Ottumwa,United,OTM,KOTM,OTM
Ed-Air,Small,Oaktown,United,OTN,I20,I20
"Vor
Closed",Closed,Otto,United,OTO,,
Henri Coandă International,Large,Bucharest,Romania,OTP,LROP,
Coto 47,Medium,Corredores,Costa,OTR,MRCC,
"Anacortes
Closed",Closed,Anacortes,United,OTS,,
Andre Maggi,Small,Cotriguaçu,Brazil,OTT,,
"Otu
Closed",Closed,Remedios,Colombia,OTU,SKOT,
"Ontong Java Atoll Airstrip
Closed",Closed,Ontong,Solomon,OTV,AGGQ,
"Oria
Closed",Closed,Oria,Papua,OTY,,
Ralph Wien Memorial,Medium,Kotzebue,United,OTZ,PAOT,OTZ
Ouagadougou,Medium,Ouagadougou,Burkina,OUA,DFFD,
Angads,Medium,Oujda,Morocco,OUD,GMFO,
Airport,Type,City,Country,IATA,ICAO,FAA
Ouesso,Medium,,Congo,OUE,FCOU,
Ouahigouya,Small,Ouahigouya,Burkina,OUG,DFCC,
Oudtshoorn,Medium,Oudtshoorn,South,OUH,FAOH,
Outer Skerries,Medium,Grunay,United,OUK,EGOU,
Oulu,Medium,Oulu,Finland,OUL,EFOU,
Oum Hadjer,Small,Oum,Chad,OUM,,
University of Oklahoma Westheimer,Small,Norman,United,OUN,KOUN,OUN
Batouri,Small,Batouri,Cameroon,OUR,FKKI,
Ourinhos,Small,Ourinhos,Brazil,OUS,SDOU,
Bousso,Small,Bousso,Chad,OUT,FTTS,
"Ouanga
Closed",Closed,Ouanga,Gabon,OUU,,
Tazadit,Small,Zouérate,Mauritania,OUZ,GQPZ,
Bekily,Small,Bekily,Madagascar,OVA,FMSL,
Tolmachevo,Large,Novosibirsk,Russia,OVB,UNNT,
Asturias,Medium,Ranón,Spain,OVD,LEAS,
Airport,Type,City,Country,IATA,ICAO,FAA
Oroville Municipal,Small,Oroville,United,OVE,KOVE,OVE
Overberg,Small,Overberg,South,OVG,FAOB,
El Tuqui,Small,Ovalle,Chile,OVL,SCOV,
Olavarria,Small,Olavarria,Argentina,OVR,SAZF,
Sovetskiy,Medium,Sovetskiy,Russia,OVS,USHS,
"Owatonna Degner Regional
Closed",Closed,Owatonna,United,OWA,,
Owensboro Daviess County,Medium,Owensboro,United,OWB,KOWB,OWB
Norwood Memorial,Medium,Norwood,United,OWD,KOWD,OWD
"Owendo
Closed",Closed,Owendo,Gabon,OWE,,
Central Maine of Norridgewock,Small,Norridgewock,United,OWK,KOWK,OWK
Osvaldo Vieira International,Medium,Bissau,Guinea-Bissau,OXB,GGOV,
Waterbury Oxford,Small,Oxford,United,OXC,KOXC,OXC
Miami University,Small,Oxford,United,OXD,KOXD,OXD
Oxford (Kidlington),Medium,Kidlington,United,OXF,EGTK,
"Orientos
Closed",Closed,Orientos,Australia,OXO,,
Airport,Type,City,Country,IATA,ICAO,FAA
Oxnard,Medium,Oxnard,United,OXR,KOXR,OXR
Morney,Small,,Australia,OXY,YMNY,
Goya,Medium,Goya,Argentina,OYA,SATG,
Oyem,Medium,Oyem,Gabon,OYE,FOGO,
Moyo,Small,Moyo,Uganda,OYG,HUMY,
Oiapoque,Medium,Oiapoque,Brazil,OYK,SBOI,
Moyale,Small,Moyale,Kenya,OYL,HKMY,
Ouyen,Small,,Australia,OYN,YOUY,
Tres Arroyos,Medium,Tres,Argentina,OYO,SAZH,
Saint-Georges-de-l'Oyapock,Medium,Saint-Georges-de-l'Oyapock,French,OYP,SOOG,
"Yosemite Ntl Park
Closed",Closed,Yosemite,United,OYS,,
Ozona Municipal,Small,Ozona,United,OZA,KOZA,OZA
Labo,Medium,Ozamiz,Philippines,OZC,RPMO,
Zagora,Small,Zagora,Morocco,OZG,GMAZ,
Zaporizhzhia International,Medium,Zaporizhia,Ukraine,OZH,UKDE,
Moron Air Base,Medium,Morón,Spain,OZP,LEMO,
Cairns AAF (Fort Rucker) Air Field,Medium,Fort,United,OZR,KOZR,OZR
Ouarzazate,Medium,Ouarzazate,Morocco,OZZ,GMMZ,
Hpa-N,Small,Hpa-N,Burma,PAA,VYPA,
Bilaspur,Medium,,India,PAB,VABI,
Marcos A. Gelabert International,Medium,Albrook,Panama,PAC,MPMG,
Paderborn Lippstadt,Medium,Paderborn,Germany,PAD,EDLP,
Snohomish County (Paine Field),Medium,Everett,United,PAE,KPAE,PAE
Pagadian,Medium,Pagadian,Philippines,PAG,RPMP,
Barkley Regional,Medium,Paducah,United,PAH,KPAH,PAH
"Pailin
Closed",Closed,Pailin,Cambodia,PAI,,
Parachinar,Small,Parachinar,Pakistan,PAJ,OPPC,
Port Allen,Small,Hanapepe,United,PAK,PHPA,PAK
German Olano Air Base,Medium,La,Colombia,PAL,SKPQ,
Tyndall Air Force Base,Large,Panama,United,PAM,KPAM,PAM
Pattani,Medium,,Thailand,PAN,VTSK,
Palo Alto of Santa Clara County,Small,Palo,United,PAO,KPAO,PAO
Toussaint Louverture International,Medium,Port-au-Prince,Haiti,PAP,MTPP,
Airport,Type,City,Country,IATA,ICAO,FAA
Palmer Municipal,Medium,Palmer,United,PAQ,PAAQ,PAQ
Paros,Small,Paros,Greece,PAS,LGPA,
Lok Nayak Jayaprakash,Medium,Patna,India,PAT,VEPT,
Pauk,Small,Pauk,Burma,PAU,VYPK,
Paulo Afonso,Medium,Paulo,Brazil,PAV,SBUF,
"Pambwa
Closed",Closed,Pambwa,Papua,PAW,,
Port-de-Paix,Medium,Port-de-Paix,Haiti,PAX,MTPX,
Pamol,Small,Pamol,Malaysia,PAY,WBKP,
El Tajín National,Medium,Poza,Mexico,PAZ,MMPA,
"Point Barrow
Closed",Closed,Barrow,United,PBA,,
Paranaíba,Small,Paranaíba,Brazil,PBB,SSPN,
Hermanos Serdán International,Medium,Puebla,Mexico,PBC,MMPB,
Porbandar,Medium,Porbandar,India,PBD,VAPR,
Puerto Berrio,Small,Puerto,Colombia,PBE,SKPR,
Grider Field,Medium,Pine,United,PBF,KPBF,PBF
Airport,Type,City,Country,IATA,ICAO,FAA
Plattsburgh International,Medium,Plattsburgh,United,PBG,KPBG,PBG
Paro,Medium,Paro,Bhutan,PBH,VQPR,
Palm Beach International,Large,West,United,PBI,KPBI,PBI
Tavie,Small,Paama,Vanuatu,PBJ,NVSI,
"Pack Creek
Closed",Closed,Pack,United,PBK,,
General Bartolome Salom International,Medium,,Venezuela,PBL,SVPC,
Johan Adolf Pengel International,Medium,Zandery,Suriname,PBM,SMJP,
Porto Amboim,Medium,Port,Angola,PBN,FNPA,
Paraburdoo,Medium,Paraburdoo,Australia,PBO,YPBO,
Islita,Small,Nandayure,Costa,PBP,MRIA,
Pimenta Bueno,Small,Pimenta,Brazil,PBQ,SWPM,
Puerto Barrios,Medium,Puerto,Guatemala,PBR,MGPB,
Puerto Leda,Small,Puerto,Paraguay,PBT,,
Putao,Medium,Putao,Burma,PBU,VYPT,
Porto dos Gaúchos,Small,Porto,Brazil,PBV,SWPG,
Airport,Type,City,Country,IATA,ICAO,FAA
Fazenda Piraguassu,Small,Porto,Brazil,PBX,SWPQ,
Plettenberg Bay,Medium,Plettenberg,South,PBZ,FAPG,
Portage Creek,Small,Portage,United,PCA,PAOC,A14
Pondok Cabe Air Base,Small,Jakarta,Indonesia,PCB,WIHP,
"Puerto Rico
Closed",Closed,Puerto,Colombia,PCC,,
Prairie Du Chien Municipal,Small,Prairie,United,PCD,KPDC,PDC
"Painter Creek
Closed",Closed,Painter,United,PCE,,
Potchefstroom,Medium,Potchefstroom,South,PCF,FAPS,
Paso Caballos,Small,Paso,Guatemala,PCG,MGPC,
Palacios,Small,Palacios,Honduras,PCH,MHPC,
Puerto La Victoria,Small,Puerto,Paraguay,PCJ,SGLV,
"Porcupine Creek
Closed",Closed,Porcupine,United,PCK,,
Cap FAP David Abenzur Rengifo International,Medium,Pucallpa,Perú,PCL,SPCL,
Playa del Carmen,Small,Solidaridad,Mexico,PCM,,
Picton Aerodrome,Small,Koromiko,New,PCN,NZPN,
Airport,Type,City,Country,IATA,ICAO,FAA
"Punta Colorada
Closed",Closed,La,Mexico,PCO,MMPL,
Principe,Medium,,São,PCP,FPPR,
Boun Neau,Small,Phongsaly,Laos,PCQ,VLFL,
German Olano,Medium,Puerto,Colombia,PCR,SKPC,
Picos,Small,Picos,Brazil,PCS,SNPC,
Princeton,Small,Princeton/Rocky,United,PCT,39N,39N
Poplarville Pearl River County,Small,Poplarville,United,PCU,M13,M13
Punta Chivato,Small,Punta,Mexico,PCV,,
Obando,Medium,Puerto,Colombia,PDA,SKPD,
Pedro Bay,Small,Pedro,United,PDB,4K0,4K0
Mueo,Small,Mueo,New,PDC,NWWQ,
Ponta do Ouro,Small,Ponta,Mozambique,PDD,FQPO,
Pandie Pandie,Small,,Australia,PDE,YPDI,
Prado,Small,Prado,Brazil,PDF,SNRD,
Minangkabau,Medium,Ketaping/Padang-Sumatra,Indonesia,PDG,WIEE,
Airport,Type,City,Country,IATA,ICAO,FAA
Pindiu,Small,Pindiu,Papua,PDI,AYPD,
DeKalb Peachtree,Medium,Atlanta,United,PDK,KPDK,PDK
João Paulo II,Large,Ponta,Portugal,PDL,LPPD,
Capt Justiniano Montenegro,Small,Pedasi,Panama,PDM,MP00,
Parndana,Small,Kangaroo,Australia,PDN,YPDA,
Pendopo,Medium,Talang,Indonesia,PDO,WIPQ,
Capitan Corbeta CA Curbelo International,Medium,Punta,Uruguay,PDP,SULS,
"Presidente José Sarney
Closed",Closed,Presidente,Brazil,PDR,,
Piedras Negras International,Medium,,Mexico,PDS,MMPG,
Eastern Oregon Regional At Pendleton,Medium,Pendleton,United,PDT,KPDT,PDT
Tydeo Larre Borges,Small,Paysandu,Uruguay,PDU,SUPU,
Plovdiv International,Medium,Plovdiv,Bulgaria,PDV,LBPD,
Portland International,Large,Portland,United,PDX,KPDX,PDX
Pedernales,Small,,Venezuela,PDZ,SVPE,
Penneshaw,Small,Ironstone,Australia,PEA,YPSH,
Airport,Type,City,Country,IATA,ICAO,FAA
"Pebane
Closed",Closed,Pebane,Mozambique,PEB,,
Pelican,Seaplane,Pelican,United,PEC,PEC,PEC
Pardubice,Medium,Pardubice,Czechia,PED,LKPD,
Bolshoye Savino,Medium,Perm,Russia,PEE,USPP,
Peenemünde,Small,Peenemünde,Germany,PEF,EDCP,
Perugia San Francesco d'Assisi – Umbria International,Medium,Perugia,Italy,PEG,LIRZ,
Comodoro Pedro Zanni,Medium,Pehuajó,Argentina,PEH,SAZP,
Matecaña International,Medium,Pereira,Colombia,PEI,SKPE,
"Peschiei
Closed",Closed,Peschiei,Italy,PEJ,,
Beijing Capital International,Large,Beijing,China,PEK,ZBAA,
Pelaneng,Small,Pelaneng,Lesotho,PEL,FXPG,
Padre Aldamiz International,Medium,Puerto,Perú,PEM,SPTU,
Penang International,Medium,Penang,Malaysia,PEN,WMKP,
Peppimenarti,Small,Peppimenarti,Australia,PEP,,
Pecos Municipal,Small,Pecos,United,PEQ,KPEQ,PEQ
Perth International,Large,Perth,Australia,PER,YPPH,
Petrozavodsk,Medium,Petrozavodsk,Russia,PES,ULPB,
João Simões Lopes Neto International,Medium,Pelotas,Brazil,PET,SBPK,
Puerto Lempira,Small,Puerto,Honduras,PEU,MHPL,
Pécs-Pogány,Medium,Pécs-Pogány,Hungary,PEV,LHPP,
Peshawar International,Medium,Peshawar,Pakistan,PEW,OPPS,
Pechora,Medium,Pechora,Russia,PEX,UUYP,
Penong,Small,Penong,Australia,PEY,YPNG,
Penza,Medium,Penza,Russia,PEZ,UWPP,
"Paf Warren
Closed",Closed,Paf,United,PFA,,
Airport,Type,City,Country,IATA,ICAO,FAA
Lauro Kurtz,Medium,Passo,Brazil,PFB,SBPF,
Pacific City State,Small,Pacific,United,PFC,KPFC,PFC
"Port Frederick
Closed",Closed,Port,United,PFD,,
Patreksfjörður,Small,Patreksfjörður,Iceland,PFJ,BIPA,
"Panama City-Bay Co International
Closed",Closed,Panama,United,PFN,KPFN,
Paphos International,Large,Paphos,Cyprus,PFO,LCPH,
Parsabade Moghan,Small,Parsabad,Iran,PFQ,OITP,
Ilebo,Small,Ilebo,Congo,PFR,FZVS,
Page Municipal,Medium,Page,United,PGA,KPGA,PGA
Pangoa,Small,Pangoa,Papua,PGB,AYPC,
Grant County,Small,Petersburg,United,PGC,W99,W99
Charlotte County,Small,Punta,United,PGD,KPGD,PGD
Yegepa,Small,,Papua,PGE,,
Perpignan-Rivesaltes (Llabanère),Medium,Perpignan/Rivesaltes,France,PGF,LFMP,
"Progresso
Closed",Closed,Sao,Brazil,PGG,,
Airport,Type,City,Country,IATA,ICAO,FAA
Pantnagar,Medium,Pantnagar,India,PGH,VIPT,
Chitato,Small,Chitato,Angola,PGI,FNCH,
Pangkal Pinang (Depati Amir),Small,Pangkal,Indonesia,PGK,WIPK,
Trent Lott International,Small,Pascagoula,United,PGL,KPQL,PQL
Port Graham,Small,Port,United,PGM,PGM,PGM
Pangia,Small,Pangia,Papua,PGN,AYPG,
Stevens Field,Small,Pagosa,United,PGO,KPSO,PSO
"Porto Alegre
Closed",Closed,Porto,São,PGP,,
Kirk Field,Small,Paragould,United,PGR,KPGR,PGR
"Peach Springs
Closed",Closed,Peach,United,PGS,,
Persian Gulf International,Medium,Asalouyeh,Iran,PGU,OIBP,
Pitt Greenville,Medium,Greenville,United,PGV,KPGV,PGV
Périgueux-Bassillac,Medium,Périgueux/Bassillac,France,PGX,LFBX,
Ponta Grossa - Comandante Antonio Amilton Beraldo,Small,Ponta,Brazil,PGZ,SSZW,
Phan Rang,Small,Phan,Vietnam,PHA,VVPR,
Airport,Type,City,Country,IATA,ICAO,FAA
Prefeito Doutor João Silva Filho,Small,Parnaíba,Brazil,PHB,SBPB,
Port Harcourt International,Medium,Port,Nigeria,PHC,DNPO,
Harry Clever Field,Small,New,United,PHD,KPHD,PHD
Port Hedland International,Medium,Port,Australia,PHE,YPPD,
Newport News Williamsburg International,Large,Newport,United,PHF,KPHF,PHF
Port Harcourt City,Small,Port,Nigeria,PHG,,
Phan Thiet,Small,Phan,Vietnam,PHH,VVPT,
Pinheiro,Small,Pinheiro,Brazil,PHI,SNYE,
"Port Hunter
Closed",Closed,Port,Australia,PHJ,,
Palm Beach County Glades,Small,Pahokee,United,PHK,KPHK,PHK
Philadelphia International,Large,Philadelphia,United,PHL,KPHL,PHL
"Boeblingen
Closed",Closed,Boeblingen,Germany,PHM,,
St Clair County International,Small,Port,United,PHN,KPHN,PHN
Point Hope,Small,Point,United,PHO,PAPO,PHO
Philip,Small,Philip,United,PHP,KPHP,PHP
Airport,Type,City,Country,IATA,ICAO,FAA
The Monument,Small,Phosphate,Australia,PHQ,YTMO,
"Pacific Harbor
Closed",Closed,Pacific,Fiji,PHR,,
Phitsanulok,Medium,,Thailand,PHS,VTPP,
Henry County,Small,Paris,United,PHT,KPHT,PHT
"Phu Vinh
Closed",Closed,Phu,Vietnam,PHU,,
Hendrik Van Eck,Medium,Phalaborwa,South,PHW,FAPH,
Phoenix Sky Harbor International,Large,Phoenix,United,PHX,KPHX,PHX
Phetchabun,Medium,,Thailand,PHY,VTPB,
General Wayne A. Downing Peoria International,Large,Peoria,United,PIA,KPIA,PIA
Hattiesburg Laurel Regional,Medium,Hattiesburg/Laurel,United,PIB,KPIB,PIB
Pine Cay,Small,Pine,Turks,PIC,MBPI,
Nassau Paradise Island,Small,Nassau,Bahamas,PID,MYPI,
St Petersburg Clearwater International,Medium,St,United,PIE,KPIE,PIE
Pingtung North,Medium,Pingtung,Taiwan,PIF,RCSQ,
"Pitinga
Closed",Closed,Pitinga,Brazil,PIG,,
Airport,Type,City,Country,IATA,ICAO,FAA
Pocatello Regional,Medium,Pocatello,United,PIH,KPIH,PIH
"Phillips Field
Closed",Closed,Fairbanks,United,PII,,
Glasgow Prestwick,Medium,Glasgow,United,PIK,EGPK,
Carlos Miguel Gimenez,Medium,Pilar,Paraguay,PIL,SGPI,
Harris County,Small,Pine,United,PIM,KPIM,PIM
"Harris County
Closed",Closed,Pine,United,PIM,,
Parintins,Small,Parintins,Brazil,PIN,SWPI,
Capitán FAP Renán Elías Olivera International,Medium,Pisco,Perú,PIO,SPSO,
Pilot Point,Small,Pilot,United,PIP,PAPN,PNP
"Pipillipai
Closed",Closed,Pipillipai,Guyana,PIQ,,
Pierre Regional,Medium,Pierre,United,PIR,KPIR,PIR
Poitiers-Biard,Medium,Poitiers/Biard,France,PIS,LFBI,
Pittsburgh International,Large,Pittsburgh,United,PIT,KPIT,PIT
Capitán FAP Guillermo Concha Iberico International,Medium,Piura,Perú,PIU,SPUR,
Pikwitonei,Medium,Pikwitonei,Canada,PIW,CZMN,
Airport,Type,City,Country,IATA,ICAO,FAA
Pico,Medium,Pico,Portugal,PIX,LPPI,
Point Lay LRRS,Medium,Point,United,PIZ,PPIZ,PIZ
Pajala,Medium,,Sweden,PJA,ESUP,
Payson,Small,Payson,United,PJB,KPAN,PAN
Dr Augusto Roberto Fuster International,Small,Pedro,Paraguay,PJC,SGPJ,
Panjgur,Medium,Panjgur,Pakistan,PJG,OPPG,
Puerto Jimenez,Medium,Puerto,Costa,PJM,MRPJ,
